bhid,east,north,rl,depth
L11,78327.156,4776.562,185.730,0.000
L16-N1,78202.359,4657.984,153.840,0.000
L16-N10,78412.375,4790.377,153.840,0.000
L16-N2,78241.508,4703.424,153.840,0.000
L16-N3,78240.523,4705.255,153.840,0.000
L16-N4,78287.617,4730.032,153.840,0.000
L16-N4a,78288.188,4728.194,153.840,0.000
L16-N5,78326.641,4747.839,153.840,0.000
L16-N6,78326.031,4749.160,153.840,0.000
L16-N7,78373.297,4764.709,153.840,0.000
L16-N8,78373.008,4766.121,153.840,0.000
L16-N9,78413.234,4788.865,153.840,0.000
L17-N3,77970.430,4358.983,95.170,0.000
L17-N5,78011.930,4384.803,95.170,0.000
L17-N6,78010.945,4386.259,95.170,0.000
L17-N8,78054.063,4411.278,95.170,0.000
L22,78139.938,4609.492,153.740,0.000
L4-N1,78028.375,4608.263,129.789,0.000
L4-N2,78029.625,4606.644,129.789,0.000
L4-N3,78069.539,4637.734,129.789,0.000
L4-N4,78070.172,4636.493,129.789,0.000
L9-N1,77921.891,4526.382,95.170,0.000
L9-N11,78132.539,4647.929,95.170,0.000
L9-N12,78133.781,4646.030,95.170,0.000
L9-N13,78183.820,4679.534,95.170,0.000
L9-N14,78184.438,4677.810,95.170,0.000
L9-N15,78231.008,4697.321,95.170,0.000
L9-N16,78231.625,4695.526,95.170,0.000
L9-N17,78277.055,4716.813,95.170,0.000
L9-N18,78277.813,4715.109,95.170,0.000
L9-N19,78311.734,4735.631,95.170,0.000
L9-N1a,77880.055,4500.138,95.170,0.000
L9-N2,77920.773,4527.950,95.170,0.000
L9-N20,78312.773,4734.055,95.170,0.000
L9-N2a,77878.813,4501.786,95.170,0.000
L9-N3,77962.852,4556.396,95.170,0.000
L9-N4,77963.773,4554.476,95.170,0.000
L9-N5,78006.461,4580.176,95.170,0.000
L9-N7,78040.398,4600.635,95.170,0.000
L9-N8,78041.508,4598.535,95.170,0.000
L9-N9,78080.695,4628.666,95.170,0.000
LK010,78009.461,4644.439,152.410,0.000
LK011,77896.727,4567.592,131.850,4.000
LK012,78323.594,4751.591,199.700,14.000
LK013,78177.594,4700.015,198.020,24.000
LK040,77986.617,4688.472,133.990,34.000
LK042,78152.609,4741.419,186.140,44.000
LK043,78296.336,4794.425,194.600,54.000
LK044,78288.531,4809.542,193.810,64.000
LK045e,77838.219,4599.291,100.260,74.000
LK047,78142.867,4758.517,179.310,84.000
LK048,78404.398,4806.406,212.670,94.000
LK060,78390.938,4827.836,197.810,104.000
LK071,78004.180,4664.525,146.930,114.000
LK083,77886.672,4591.563,127.320,124.000
LK086,77979.328,4427.523,135.790,134.000
LK088,78087.766,4503.508,136.770,144.000
LK090,77974.180,4716.442,122.450,154.000
LK091,78260.953,4854.636,186.690,164.000
LK110,77877.648,4637.231,134.160,174.000
LK111,78074.961,4535.722,139.760,184.000
LK131,77872.406,4628.142,129.039,0.000
LK134,78066.188,4550.485,148.270,1.000
LK142,78140.266,4427.713,131.050,2.000
LK143,78043.156,4598.805,153.680,10.000
LK146,78202.891,4683.608,191.360,14.000
LK147,77980.297,4427.729,136.010,20.000
LK151,78264.867,4541.750,180.490,24.000
LK152,78241.773,4582.691,155.610,30.000
LK154,78365.719,4671.659,222.340,34.000
LK156,78376.031,4651.554,226.880,40.000
LK157,78325.352,4744.780,200.400,44.000
LK159,78454.539,4717.388,235.740,50.000
LK169,78024.031,4350.039,163.350,54.000
LK170,78114.484,4464.360,147.190,60.000
LK174,78406.719,4833.666,196.960,64.000
LK177,77896.266,4572.594,129.720,70.000
